Trip ID,Booking User ID,Pick Up Latitude,Pick Up Longitude,Drop Off Latitude,Drop Off Longitude,Pick Up Address,Drop Off Address,Trip Date and Time,Total Passengers,Age
734862,447928,30.2858491,-97.7425158,30.2820797,-97.7057133,"The Drag, San Antonio St, Austin, United States, 78705","Zeds Real Fruit Ice Cream, Harvey Street, Austin, TX, USA",9/7/25 21:15,8,18
734859,465146,30.2997079,-97.7211404,30.2847095,-97.7434527,"Hancock, Austin, United States, 78751","The Callaway House Austin, West 22nd Street, Austin, TX, USA",9/7/25 21:03,10,18
734855,328323,30.382213,-97.9515124,30.2889763,-97.7432405,"Travis Southwest, Bella Cima Dr, Austin, United States, 78734","Alpha Chi Omega, Nueces Street, Austin, TX, USA",9/7/25 21:06,7,23
734854,599801,30.2654872,-97.7484021,30.2873853,-97.7424943,"2nd Street District, W 2nd St, Austin, United States, 78701","The Castilian, San Antonio Street, Austin, TX, USA",9/7/25 20:41,9,19
734853,595204,30.2454026,-97.7304691,30.2873853,-97.7424943,"1618 Asian Fusion, East Riverside Drive, Austin, TX, USA","The Castilian, San Antonio Street, Austin, TX, USA",9/7/25 20:33,9,19
734851,365958,30.2616642,-97.7601048,30.2847095,-97.7434527,"Barton Springs, Barton Springs Rd, Austin, United States, 78704","The Callaway House Austin, West 22nd Street, Austin, TX, USA",9/7/25 20:11,10,18
734849,531314,30.2975682,-97.7840602,30.2914874,-97.6981212,"Tarrytown, Scenic Dr, Austin, United States, 78703","3901 Berkman Drive, Austin, TX, USA",9/7/25 19:57,8,27
734843,261629,30.2890712,-97.7481069,30.2514145,-97.7022034,"West Campus, San Gabriel St, Austin, United States, 78705","De Nada Cantina, East Cesar Chavez Street, Austin, TX, USA",9/7/25 19:24,11,21
734841,427447,30.2897526,-97.7429714,30.1633017,-97.7891814,"The Drag, Nueces St, Austin, United States, 78705","Texas Roadhouse, South Interstate 35 Frontage Road, Austin, TX, USA",9/7/25 19:16,7,19
734840,599801,30.2873851,-97.7416325,30.2656938,-97.7485706,"The Drag, Guadalupe St, Austin, United States, 78705","Local Foods -- 2nd Street District, West 2nd Street, Austin, TX, USA",9/7/25 19:13,9,19
734838,577473,30.2589359,-97.7287564,30.2847095,-97.7434527,"East Cesar Chavez, E Cesar Chavez St, Austin, United States, 78702","505 West 22nd Street, Austin, TX, USA",9/7/25 19:00,5,18
734836,599729,30.2694691,-97.7492277,30.2762514,-97.7062845,"Market District, W 6th St, Austin, United States, 78701","2924 East 12th Street, Austin, TX, USA",9/7/25 18:46,7,27
734835,595445,30.2277034,-97.7514631,30.2628309,-97.7415705,"St. Edwards, Austin, United States, 78704","304 East Cesar Chavez Street, Austin, TX, USA",9/7/25 18:47,5,22
734831,238659,30.2877988,-97.7441382,30.2514145,-97.7022034,"The Drag, Nueces St, Austin, United States, 78705","De Nada Cantina, East Cesar Chavez Street, Austin, TX, USA",9/7/25 18:31,13,24
734822,365958,30.2851279,-97.7435047,30.2616576,-97.7600367,"West Campus, W 22nd St, Austin, United States, 78705","Juliet Italian Kitchen- Barton Springs, Barton Springs Road, Austin, TX, USA",9/7/25 18:18,11,18
734810,595204,30.2873853,-97.7424943,30.2454026,-97.7304691,"The Castilian, San Antonio Street, Austin, TX, USA","1618 Asian Fusion, East Riverside Drive, Austin, TX, USA",9/7/25 17:54,9,19
734808,595332,30.4109496,-97.6762072,30.2697584,-97.7481007,"Lamplight Village, Austin, United States, 78753","Little Woodrow's West 6th, West 6th Street, Austin, TX, USA",9/7/25 17:24,14,32
734802,577468,30.2850774,-97.7435906,30.2588167,-97.7287915,"West Campus, W 22nd St, Austin, United States, 78705","Casa Bianca, East Cesar Chavez Street, Austin, TX, USA",9/7/25 16:35,5,19
734797,599613,30.3441068,-97.8738063,30.2621645,-97.7323115,"Travis Southwest, Cliffwood Dr, Austin, United States, 78733","1112 East 3rd Street, Austin, TX, USA",9/7/25 16:23,8,35
734790,597710,30.3499003,-97.7970287,30.2498,-97.8317727,"Pennybacker Bridge, North Capital of Texas Highway, Austin, TX, USA","4401 Mesquite Spring Cove, Austin, TX, USA",9/7/25 15:58,9,52
734788,599729,30.298297,-97.7049921,30.2696809,-97.7492075,"Mueller, Aldrich St, Austin, United States, 78723","The Rustic Tap, West 6th Street, Austin, TX, USA",9/7/25 16:00,7,27
734783,287651,30.4236208,-97.9498736,30.3444884,-97.8739245,"Travis Southwest, Rocky Ridge Rd, Austin, United States, 78734","1604 Cliffwood Drive, Austin, TX, USA",9/7/25 15:22,14,27
734780,593576,30.3485843,-97.7979049,30.240519,-97.7557663,"N Capital of Texas Hwy, Austin, United States, 78746","2316 Euclid Avenue, Austin, TX, USA",9/7/25 15:07,9,38
734779,599647,30.3490153,-97.7975134,30.2118472,-97.7717196,"N Capital of Texas Hwy, Austin, United States, 78730","5010 Congress Avenue, Austin, TX, USA",9/7/25 15:06,9,26
734775,77171,30.4231081,-97.9449271,30.3085966,-97.9429328,"Travis Southwest, Rocky Ridge Rd, Austin, United States, 78734","Simply Pho House, Galleria Circle, Austin, TX, USA",9/7/25 14:42,12,50
734761,531314,30.2920134,-97.6983428,30.2972034,-97.7838253,"Mueller, Berkman Dr, Austin, United States, 78723","Walsh Boat Landing, Scenic Drive, Austin, TX, USA",9/7/25 14:22,10,27
734745,238212,30.2922723,-97.7422113,30.3858632,-97.9545695,"West Campus, Nueces St, Austin, United States, 78705","205 Bella Vista Cove, Austin, TX, USA",9/7/25 11:31,8,20
734742,599647,30.2114663,-97.7719823,30.3485517,-97.7974447,"West Congress, S Congress Ave, Austin, United States, 78745","5019 N Capital of Texas Hwy, Austin, TX 78746, USA",9/7/25 11:33,8,26
734739,599649,30.2846898,-97.7468617,30.2809699,-97.7306618,"West Campus, W 21st St, Austin, United States, 78705","Moody Center, Robert Dedman Drive, Austin, TX, USA",9/7/25 11:14,5,35
734737,280857,30.2839546,-97.7440829,30.4445875,-97.9142529,"West Campus, W 21st St, Austin, United States, 78705","Aquaholics Watercraft Rental, Dodd Street, Volente, TX, USA",9/7/25 10:57,10,21
734734,593332,30.2882864,-97.7454262,30.4448676,-97.9136902,"West Campus, W 24th St, Austin, United States, 78705","16203 Dodd St, Volente, TX 78641, USA",9/7/25 10:52,14,21
734730,597710,30.2498,-97.8317727,30.3499003,-97.7970287,"4401 Mesquite Spring Cove, Austin, TX, USA","Pennybacker Bridge, North Capital of Texas Highway, Austin, TX, USA",9/7/25 10:47,9,52
734729,593755,30.207541,-97.7902355,30.194085,-97.6710889,"Garrison Park, Eureka Dr, Austin, United States, 78745","Austin-Bergstrom International Airport (AUS), Presidential Boulevard, Austin, TX, USA",9/7/25 10:45,9,27
734720,287651,30.3444766,-97.8740358,30.4231589,-97.9471602,"Travis Southwest, Cliffwood Dr, Austin, United States, 78733","17141 Rocky Ridge Road, Austin, TX, USA",9/7/25 10:40,11,27
734711,593576,30.2405707,-97.7558285,30.3491925,-97.797467,"Bouldin Creek, Euclid Ave, Austin, United States, 78704","Loop 360 Boat Ramp, Texas 360 Loop, Austin, TX, USA",9/7/25 9:55,9,38
734704,599613,30.2621748,-97.7322157,30.4231589,-97.9471602,"East Cesar Chavez, E 3rd St, Austin, United States, 78702","17141 Rocky Ridge Road, Austin, TX, USA",9/7/25 9:12,8,35
734701,77171,30.297799,-97.8498161,30.4231589,-97.9471602,"1000 Barton Creek Boulevard, Austin, TX, USA","17141 Rocky Ridge Road, Austin, TX, USA",9/7/25 9:24,11,50
734682,257093,30.2681574,-97.7429529,30.1900267,-97.9037924,"Congress Ave District, W 6th St, Austin, United States, 78701","7228 Tanaqua Lane, Austin, TX, USA",9/7/25 3:09,7,19
734681,79768,30.3319783,-97.6247971,30.2910085,-97.7456584,"Travis Northeast, Reservoir Ct, Austin, United States, 78754","Villas on 26th, West 26th Street, Austin, TX, USA",9/7/25 3:19,9,21
734680,231920,30.3362578,-97.7203291,30.2863449,-97.7501826,"Brentwood, N Lamar Blvd, Austin, United States, 78752","1107 West 22 1/2 Street, Austin, TX, USA",9/7/25 3:14,12,20
734675,440399,30.2811762,-97.74409,30.2839731,-97.7463563,"Arts District, W 18th St, Austin, United States, 78701","711 West 21st Street, Austin, TX, USA",9/7/25 3:05,7,22
734671,598754,30.2649236,-97.7322187,30.4173862,-97.8910404,"East End, E 6th St, Austin, United States, 78702","14005 Skyline Drive, Austin, Texas 78732, USA",9/7/25 3:00,7,27
734667,599594,30.2670925,-97.7446595,30.2600521,-97.7391114,"Warehouse District, Colorado St, Austin, United States, 78701","Hotel Van Zandt, Davis Street, Austin, TX, USA",9/7/25 2:49,7,30
734665,485369,30.1808615,-97.6873142,30.2562812,-97.7626421,"Southeast Austin, US-183 N, Austin, United States, 78744","1100 South Lamar Boulevard, Austin, TX, USA",9/7/25 2:46,7,25
734664,115031,30.2669921,-97.7449514,30.2785029,-97.6920968,"Warehouse District, Colorado St, Austin, United States, 78701","1202 Perez Street, Austin, TX, USA",9/7/25 2:36,14,27
734657,46253,30.2701347,-97.7500403,30.285671,-97.7431668,"Market District, W 6th St, Austin, United States, 78701","Moontower, San Antonio Street, Austin, TX, USA",9/7/25 2:27,3,23
734655,487878,30.2688988,-97.7496729,30.4634189,-97.772112,"Market District, W 5th St, Austin, United States, 78701","13323 Villa Park Drive, Austin, TX, USA",9/7/25 2:27,9,23
734651,57340,30.2641119,-97.7298201,30.4649784,-97.6700867,"East End, E 6th St, Austin, United States, 78702","16328 South Interstate 35 Frontage Road, Austin, TX 78728, United States",9/7/25 2:26,7,24
734650,582675,30.2676147,-97.7408058,30.285671,-97.7431668,"Sixth Street, E 6th St, Austin, United States, 78701","Moontower, San Antonio Street, Austin, TX, USA",9/7/25 2:24,7,19
734649,330791,30.2963619,-97.7386054,30.2880745,-97.7440939,"North University, Whitis Ave, Austin, United States, 78705","Yugo Austin Waterloo, Seton Avenue, Austin, TX, USA",9/7/25 2:21,4,19
734647,598775,30.2663971,-97.739535,30.2544597,-97.7729292,"Sixth Street, Trinity St, Austin, United States, 78701","2005 Peach Tree Street, Austin, TX, USA",9/7/25 2:23,11,29
734644,367283,30.2927166,-97.7415804,30.3318668,-97.6245119,"West Campus, Guadalupe St, Austin, United States, 78705","Bare Cabaret Austin, Reservoir Court, Austin, TX, USA",9/7/25 2:25,9,19
734641,440399,30.2660519,-97.7396507,30.2874829,-97.7461563,"Convention Center District, E Fifth St, Austin, United States, 78701","The Mark Austin, West 23rd Street, Austin, TX, USA",9/7/25 2:20,8,22
734638,94754,30.2671417,-97.7393702,30.3822882,-97.7232122,"Sixth Street, Trinity St, Austin, United States, 78701","Zola Hookah Lounge, Rutland Drive, Austin, TX, USA",9/7/25 2:13,9,21
734637,307276,30.2695646,-97.7477043,30.1967745,-97.7059206,"Market District, W 6th St, Austin, United States, 78701","Divas Men's Club, Felter Lane, Austin, TX, USA",9/7/25 2:19,5,26
734636,284935,30.2669638,-97.7391325,30.2923563,-97.7442071,"Sixth Street, E 6th St, Austin, United States, 78701","1883 at Cameron, Rio Grande Street, Austin, TX, USA",9/7/25 2:18,7,20
734635,327399,30.266013,-97.7387145,30.2902705,-97.7449089,"Convention Center District, E Fifth St, Austin, United States, 78701","2512 Rio Grande St, Austin, TX 78705, USA",9/7/25 2:25,6,19
734630,327891,30.2688272,-97.7385632,30.2916671,-97.7446834,"Downtown, Trinity St, Austin, United States, 78701","Legacy On Rio, Rio Grande Street, Austin, TX, USA",9/7/25 2:19,7,19
734620,38060,30.2636556,-97.7272674,30.2650437,-97.742201,"East End, E 6th St, Austin, United States, 78702","301 Brazos Street, Austin, TX, USA",9/7/25 2:13,14,25
734617,81804,30.2712192,-97.7501207,30.2878405,-97.7451265,"Market District, West Ave, Austin, United States, 78701","Union on 24th, West 24th Street, Austin, TX, USA",9/7/25 2:16,12,21
734616,358219,30.2679496,-97.7391125,30.285671,-97.7431668,"Sixth Street, E 7th St, Austin, United States, 78701","Moontower, San Antonio Street, Austin, TX, USA",9/7/25 2:20,9,23
734615,414440,30.2696476,-97.7494618,30.2556226,-97.7106414,"Market District, Rio Grande St, Austin, United States, 78701","2812 East 4th Street, Austin, TX, USA",9/7/25 2:15,13,24
734614,188575,30.2700202,-97.7497095,30.2866193,-97.7449191,"Market District, W 6th St, Austin, United States, 78701","Raku Sushi & Asian Bistro, Rio Grande Street, Austin, TX, USA",9/7/25 2:05,7,21
734612,78875,30.1805641,-97.6865219,30.3720918,-97.9154593,"Southeast Austin, Daniel Alexander Way, Austin, United States, 78719","2205 Big Horn Drive, Austin, TX, USA",9/7/25 2:10,9,33
734610,219309,30.2633307,-97.7275305,30.2325153,-97.6929577,"East End, E 6th St, Austin, United States, 78702","910 Vasquez Street, Austin, TX, USA",9/7/25 2:13,10,26
734609,195176,30.2662738,-97.7395725,30.2916671,-97.7446834,"Convention Center District, Trinity St, Austin, United States, 78701","Legacy On Rio, Rio Grande Street, Austin, TX, USA",9/7/25 2:19,14,20
734607,186246,30.2668954,-97.7383766,30.3294777,-97.692619,"Sixth Street, E 6th St, Austin, United States, 78701","1204 Fairbanks Dr, Austin, TX, USA",9/7/25 2:13,8,21
734605,525976,30.2672742,-97.7390912,30.2932266,-97.8355979,"Sixth Street, E 6th St, Austin, United States, 78701","866 Castle Ridge Road, Austin, TX, USA",9/7/25 2:07,7,28
734604,211432,30.2698289,-97.7506542,30.2870342,-97.7457869,"Market District, West Ave, Austin, United States, 78701","The Standard at Austin, West 23rd Street, Austin, TX, USA",9/7/25 2:03,6,20
734603,508228,30.2664132,-97.7355952,30.2878405,-97.7451265,"Sixth Street, E 6th St, Austin, United States, 78701","Union on 24th, West 24th Street, Austin, TX, USA",9/7/25 2:08,7,19
734600,226563,30.2695031,-97.7481916,30.1532614,-97.7171398,"Warehouse District, W 6th St, Austin, United States, 78701","7600 Hillock Terrace, Austin, TX, USA",9/7/25 2:04,9,23
734598,454202,30.2701845,-97.7494915,30.2835622,-97.7448141,"Market District, Rio Grande St, Austin, United States, 78701","Signature 1909, Rio Grande Street, Austin, TX, USA",9/7/25 2:03,7,22
734595,225840,30.2673932,-97.7402053,30.2852936,-97.7432677,"Sixth Street, E 6th St, Austin, United States, 78701","Icon at Austin, San Antonio Street, Austin, TX, USA",9/7/25 2:01,6,20
734594,222792,30.2712785,-97.7502148,30.2835313,-97.7448318,"Market District, West Ave, Austin, United States, 78701","1909 Rio Grande Street, Austin, TX, USA",9/7/25 1:59,14,21
734593,50156,30.2637039,-97.7298064,30.2677894,-97.7094697,"East End, E 6th St, Austin, United States, 78702","3009 Kuhlman Avenue, Austin, TX, USA",9/7/25 2:06,11,26
734590,293483,30.2669313,-97.7390699,30.2903076,-97.7430597,"Sixth Street, E 6th St, Austin, United States, 78701","Rambler Apartments, Seton Avenue, Austin, TX, USA",9/7/25 2:02,13,19
734588,42664,30.2636251,-97.7273413,30.2874829,-97.7461563,"East End, E 6th St, Austin, United States, 78702","The Mark Austin, West 23rd Street, Austin, TX, USA",9/7/25 2:06,9,22
734584,267440,30.2667903,-97.7385766,30.2034933,-97.7929922,"Sixth Street, E 6th St, Austin, United States, 78701","1107 Speer Lane, Austin, TX, USA",9/7/25 2:04,8,22
734583,288564,30.2699883,-97.7493383,30.2902803,-97.7484457,"Market District, W 6th St, Austin, United States, 78701","1008 West 25th 1/2 Street, Austin, TX, USA",9/7/25 2:02,6,22
734582,564673,30.2702071,-97.7486173,30.3098638,-97.6966824,"Market District, W 6th St, Austin, United States, 78701","1602 Cloverleaf Drive, Austin, TX, USA",9/7/25 1:57,10,24
734581,596839,30.2699909,-97.7491854,30.3317874,-97.9220767,"Market District, W 6th St, Austin, United States, 78701","1116 Terjo Lane, Austin, TX, USA",9/7/25 1:56,14,26
734579,99370,30.2699552,-97.7484314,30.2883653,-97.7473661,"Market District, W 6th St, Austin, United States, 78701","2401 San Gabriel Street, Austin, TX, USA",9/7/25 1:56,10,21
734576,247473,30.2701913,-97.7494855,30.2905141,-97.7446811,"Market District, Rio Grande St, Austin, United States, 78701","Chat Patta Austin, Rio Grande Street, Austin, TX, USA",9/7/25 1:57,9,21
734575,598402,30.2689648,-97.7389335,30.2870342,-97.7457869,"Downtown, Trinity St, Austin, United States, 78701","The Standard at Austin, West 23rd Street, Austin, TX, USA",9/7/25 1:59,9,19
734573,85148,30.2701954,-97.7494568,30.2872286,-97.7458487,"Market District, Rio Grande St, Austin, United States, 78701","The Standard at Austin, West 23rd Street, Austin, TX, USA",9/7/25 1:55,10,20
734572,148371,30.266948,-97.7391749,30.2814818,-97.7425041,"Sixth Street, E 6th St, Austin, United States, 78701","Raising Cane's Chicken Fingers, West Martin Luther King Junior Boulevard, Austin, TX, USA",9/7/25 2:00,11,25
734571,186598,30.270157,-97.7483551,30.2841209,-97.7449249,"Market District, Nueces St, Austin, United States, 78701","21 Rio Apartments, Rio Grande Street, Austin, TX, USA",9/7/25 2:00,14,20
734568,79374,30.2699413,-97.749455,30.2874829,-97.7461563,"Market District, W 6th St, Austin, United States, 78701","The Mark Austin, West 23rd Street, Austin, TX, USA",9/7/25 1:52,12,21
734567,345768,30.2679108,-97.739003,30.2814818,-97.7425041,"Sixth Street, Trinity St, Austin, United States, 78701","Raising Cane's Chicken Fingers, West Martin Luther King Junior Boulevard, Austin, TX, USA",9/7/25 1:57,7,19
734566,521480,30.2670018,-97.7391175,30.3081863,-97.6665309,"Sixth Street, E 6th St, Austin, United States, 78701","4803 Loyola Lane, Austin, TX, USA",9/7/25 1:57,8,19
734562,210452,30.2670515,-97.7394627,30.290249,-97.7431147,"Sixth Street, Trinity St, Austin, United States, 78701","2513 Seton Avenue, Austin, TX, USA",9/7/25 1:54,11,20
734559,185755,30.2638727,-97.72871,30.285671,-97.7431668,"East End, E 6th St, Austin, United States, 78702","Moontower, San Antonio Street, Austin, TX, USA",9/7/25 1:55,10,21
734558,144433,30.2636473,-97.7271488,30.2420767,-97.7234848,"East End, E 6th St, Austin, United States, 78702","Lakeshore Pearl Apartments, Waterloo City Lane, Austin, TX, USA",9/7/25 1:54,9,23
734556,86283,30.2699968,-97.7495516,30.2910085,-97.7456584,"Market District, W 6th St, Austin, United States, 78701","Villas on 26th, West 26th Street, Austin, TX, USA",9/7/25 1:50,7,21
734554,596898,30.2699923,-97.7494608,30.2086254,-97.7628811,"Market District, Rio Grande St, Austin, United States, 78701","709 Colonial Park Blvd, Austin, TX, USA",9/7/25 1:49,10,29
734551,389194,30.2703455,-97.7503136,30.2872286,-97.7458487,"Market District, W 6th St, Austin, United States, 78701","The Standard at Austin, West 23rd Street, Austin, TX, USA",9/7/25 1:48,5,21
734546,595412,30.2667733,-97.7388107,30.2318875,-97.7653754,"Sixth Street, E 6th St, Austin, United States, 78701","517 Lightsey Road, Austin, TX, USA",9/7/25 1:52,10,29
734544,238944,30.2672508,-97.7401622,30.3438753,-97.7382354,"Sixth Street, E 6th St, Austin, United States, 78701","Lenox Burnet Apartments, Burnet Road, Austin, TX, USA",9/7/25 1:46,13,24
734542,305824,30.2712714,-97.75024,30.2883684,-97.7475721,"Market District, West Ave, Austin, United States, 78701","Regents West at 24th, San Gabriel Street, Austin, TX, USA",9/7/25 1:45,5,25
734541,505009,30.2638116,-97.7285573,30.2989756,-97.7081522,"East End, E 6th St, Austin, United States, 78702","4600 Mueller Boulevard, Austin, TX, USA",9/7/25 1:52,7,25
734540,174673,30.263436,-97.7275551,30.3009819,-97.7361127,"East End, E 6th St, Austin, United States, 78702","306 West 37th Street, Austin, TX, USA",9/7/25 1:46,10,24
734534,485802,30.268537,-97.7410856,30.2864951,-97.7436397,"Sixth Street, E 7th St, Austin, United States, 78701","Skyloft, West 23rd Street, Austin, TX, USA",9/7/25 1:46,3,19
734533,63717,30.2670556,-97.7391746,30.237527,-97.9798583,"Sixth Street, E 6th St, Austin, United States, 78701","10730 Wagon Rd W, Austin, TX, USA",9/7/25 1:44,10,32
734532,87743,30.2665828,-97.7391967,30.2953424,-97.7457461,"Sixth Street, E 6th St, Austin, United States, 78701","805 West 28th 1/2 Street, Austin, TX, USA",9/7/25 1:41,6,22
734524,365054,30.27025,-97.7482782,30.2870342,-97.7457869,"Market District, Nueces St, Austin, United States, 78701","The Standard at Austin, West 23rd Street, Austin, TX, USA",9/7/25 1:39,6,19
734520,100402,30.26414,-97.7295596,30.5317439,-97.6739823,"East End, E 6th St, Austin, United States, 78702","2003 Willowbend Drive, Round Rock, TX, USA",9/7/25 1:37,7,26
734519,196979,30.2701101,-97.7502803,30.284996,-97.7447962,"Market District, W 6th St, Austin, United States, 78701","Villas on Rio, Rio Grande Street, Austin, TX, USA",9/7/25 1:37,14,20
734515,233322,30.2660815,-97.7360079,30.2413123,-97.7636718,"Sixth Street, Sabine St, Austin, United States, 78701","2501 S 4th St, Austin, TX 78704, United States",9/7/25 1:38,9,25
734514,285751,30.2669938,-97.7391206,30.2322031,-97.7556084,"Sixth Street, E 6th St, Austin, United States, 78701","St. Edward's University, South Congress Avenue, Austin, TX, USA",9/7/25 1:40,7,19
734512,478112,30.2679695,-97.7391521,30.284996,-97.7447962,"Sixth Street, E 7th St, Austin, United States, 78701","2111 Rio Grande Street, Austin, TX, USA",9/7/25 1:38,11,20
734511,588512,30.2700915,-97.7493639,30.2941098,-97.7367052,"Market District, W 6th St, Austin, United States, 78701","106 East 30th Street, Austin, TX, USA",9/7/25 1:33,8,21
734505,366349,30.2703279,-97.7494927,30.2873916,-97.7452039,"Market District, Rio Grande St, Austin, United States, 78701","701 West 24th Street, Austin, TX, USA",9/7/25 1:30,13,20
734504,191523,30.2699536,-97.7484724,30.2852936,-97.7432677,"Market District, W 6th St, Austin, United States, 78701","2200 San Antonio Street, Austin, TX, USA",9/7/25 1:30,7,22
734502,115580,30.2698217,-97.7482628,30.2876707,-97.7444924,"Market District, W 6th St, Austin, United States, 78701","Villas on 24th, Rio Grande Street, Austin, TX, USA",9/7/25 1:31,11,19
734499,335753,30.2685954,-97.7452834,30.290249,-97.7431147,"Warehouse District, Lavaca St, Austin, United States, 78701","2513 Seton Avenue, Austin, TX, USA",9/7/25 1:34,8,19
734498,556296,30.2669216,-97.7397311,30.2873853,-97.7424943,"Sixth Street, E 6th St, Austin, United States, 78701","The Castilian, San Antonio Street, Austin, TX, USA",9/7/25 1:30,6,19
734494,328714,30.2696165,-97.7487213,30.2852936,-97.7432677,"Market District, Nueces St, Austin, United States, 78701","Icon at Austin, San Antonio Street, Austin, TX, USA",9/7/25 1:28,8,19
734490,192851,30.2703075,-97.7484259,30.2874829,-97.7461563,"Wiggle Room, Nueces Street, Austin, TX, USA","The Mark Austin, West 23rd Street, Austin, TX, USA",9/7/25 1:29,4,24
734486,193452,30.2703577,-97.7482907,30.2870342,-97.7457869,"Market District, Nueces St, Austin, United States, 78701","The Standard at Austin, West 23rd Street, Austin, TX, USA",9/7/25 1:26,14,20
734483,597101,30.2643278,-97.7291926,30.3685714,-98.0097465,"East End, E 6th St, Austin, United States, 78702","35 Water Front Ave, Lakeway, TX, USA",9/7/25 1:31,14,23
734482,37517,30.2700885,-97.7503378,30.2749444,-97.720391,"Market District, W 6th St, Austin, United States, 78701","1300 Chicon Street, Austin, TX, USA",9/7/25 1:26,11,22
734479,597779,30.2678685,-97.7386534,30.3620942,-97.659621,"Sixth Street, E 7th St, Austin, United States, 78701","2421 Tucker Lane, Austin, TX, USA",9/7/25 1:24,8,25
734477,539425,30.2661835,-97.7395295,30.2874829,-97.7461563,"Convention Center District, Trinity St, Austin, United States, 78701","The Mark Austin, West 23rd Street, Austin, TX, USA",9/7/25 1:24,8,23
734474,584613,30.2670123,-97.7394407,30.2870342,-97.7457869,"Sixth Street, Trinity St, Austin, United States, 78701","The Standard at Austin, West 23rd Street, Austin, TX, USA",9/7/25 1:25,13,19
734468,591245,30.2854026,-97.7475526,30.2913722,-97.7404657,"West Campus, W 22nd St, Austin, United States, 78705","Almetris Duren Residence Hall, Whitis Avenue, Austin, TX, USA",9/7/25 1:20,6,18
734461,344541,30.2668417,-97.7387458,30.2878405,-97.7451265,"Sixth Street, E 6th St, Austin, United States, 78701","Union on 24th, West 24th Street, Austin, TX, USA",9/7/25 1:16,6,19
734460,355599,30.2669458,-97.7391461,30.2903076,-97.7430597,"Sixth Street, E 6th St, Austin, United States, 78701","Rambler Apartments, Seton Avenue, Austin, TX, USA",9/7/25 1:14,6,19
734454,596031,30.2670201,-97.7391501,30.3516372,-97.7230137,"Sixth Street, E 6th St, Austin, United States, 78701","7809 Woodrow Avenue, Austin, TX, USA",9/7/25 1:12,10,24
734446,263551,30.2703082,-97.7504684,30.2814818,-97.7425041,"Market District, West Ave, Austin, United States, 78701","Raising Cane's Chicken Fingers, West Martin Luther King Junior Boulevard, Austin, TX, USA",9/7/25 1:10,7,19
734443,380566,30.2683443,-97.7389089,30.2873853,-97.7424943,"Downtown, Trinity St, Austin, United States, 78701","The Castilian, San Antonio Street, Austin, TX, USA",9/7/25 1:11,6,18
734440,335753,30.2701766,-97.7482305,30.2669106,-97.7391248,"Market District, Nueces St, Austin, United States, 78701","The Aquarium on 6th, East 6th Street, Austin, TX, USA",9/7/25 1:14,12,19
